uid,n_hit,chi,eta,etamul2000,j1A0,j2A0,j3A0,j4A0,kappa,muDc,muK,pEhigh,phiS,pR,pT,rho,sageA15,sigma,theta,zeta
9106f50d3bb43255b6c23aa845d49a57,13,0.126839473954156,0.964495213438483,0.347226266380771,0.414194029859375,0.478268799808696,0.755852808026423,0.57361460009488,0.103571354248715,0.152800223762103,0.0104595264946658,0.381475270864662,0.0375489565243352,0.73027053978818,0.00104812367289921,0.0386303798766016,0.85619697990072,0.000562779957887666,0.0916482870480372,1.59424017790879
a648f63c82be19c49553ecab11bc6bf0,13,0.219155761520933,0.910552145965515,0.51054463874988,0.503544072869161,0.719637844157393,0.681046927266182,0.729388876165108,0.107990140867144,0.146227653345544,0.0112335023642406,0.402686899291537,0.0371068725517711,0.720079711066816,0.00108226589066835,0.0513434144909112,0.908857800783766,0.00108414310405028,0.0978779940573829,1.62966668853874
9fe7a066adfc264bcf3c69e4d68fd5b1,13,0.192423139304889,0.942816176710469,0.481377146549152,0.405441908239664,0.351370452217314,0.153737327101456,0.686988059433226,0.111043010753626,0.16993394195921,0.0100949199270278,0.418358364466095,0.0345811322397461,0.716200762450737,0.0012356941187457,0.0490178650853265,0.789914502139305,0.000682105234002196,0.0903317656530495,1.64546223974384
ed548de365613ef4b05e682941e58d84,13,0.217489881499931,0.900080152655581,0.524900073602398,0.516536453725356,0.720281266603508,0.704632003075101,0.758742635049024,0.109601028825087,0.149204086403117,0.00825694335191872,0.408341560923268,0.0373414948290881,0.712728047624658,0.00111287715641132,0.0499651734237166,0.919806299155106,0.000993996976684744,0.0981711050765006,1.6105156334125
8658c0bd80659da5875112b837226feb,13,0.122477771584694,0.95006114261701,0.430695603230192,0.555297903668593,0.445625622777311,0.383015381082272,0.7454956253057,0.128598953156766,0.133931037994757,0.0104245254931757,0.375271740658634,0.0368772449445243,0.724104995506478,0.000993536684856347,0.0481385390861993,0.824387415770224,0.00048038425842569,0.0861434102273258,1.62625318774191
33dc1d83f17f8ada9f3c839329c3a737,13,0.167925008821336,0.9625170020454,0.49093833375297,0.508267524825408,0.650384394569863,0.171340977996843,0.569450980040341,0.114350932612907,0.16452046439711,0.00911162558549381,0.370625152679974,0.0349109812022946,0.73683203998717,0.00108008804033602,0.0542259732226438,0.804803218827475,0.000963390595362813,0.0833629195881399,1.63288489967952
e1ac95c1f0a12e21cd5ee5d7d0212891,13,0.194743880299738,0.906885784911282,0.488471217343806,0.473936640185355,0.356595724505032,0.133102857922167,0.644539551972108,0.105798912951618,0.165686661498975,0.00899846313928902,0.420754038157288,0.0348634413761548,0.71102880112096,0.00120007929040348,0.0476219380341614,0.777671913845266,0.000623987545203465,0.0917320766059138,1.64975271044007
5d4949d207ed8f6a0e75d5f8a3102197,13,0.176083683571131,0.953021669920809,0.531339875111843,0.573320871945481,0.637274961097622,0.398267275132458,0.530852631268899,0.111603274834908,0.161320980413641,0.0157792587691202,0.425853911460318,0.0305557223276248,0.74682420494965,0.00127014454421235,0.0437309621406994,0.889355557906672,0.000636289147326638,0.095904339994505,1.566887838667
537625d7ccf3bb968862097f4c1f30f8,13,0.132259252572579,0.905447961191451,0.490369126731728,0.367039670497227,0.625008364525983,0.442184410005824,0.55606819565459,0.105375148553809,0.141063621837531,0.0171283374259654,0.437542557509119,0.0318778078801996,0.724944377278262,0.0011356623986616,0.0497941517783836,0.898387346149001,0.000476033132706398,0.0895844098484134,1.61207086041031
127f8e9d743923d143d8e0af92614426,13,0.13219867493975,0.918195328815974,0.492436889945494,0.458368195160965,0.635049613803726,0.469131241648957,0.596185630293848,0.105496284057349,0.147405914237096,0.0170327217553548,0.421491295461599,0.0322230516719168,0.710661338751006,0.00115420404849194,0.048271392334924,0.911643653421354,0.000485865940589672,0.0876785758062756,1.59620174694918
96c09cdf450d2112bf1347dc7e813d20,13,0.191649397412409,0.96996738230131,0.649666613889485,0.472596927869266,0.481053875389899,0.598868009175882,0.685957619986321,0.122531262772746,0.169967131313907,0.0200909719123239,0.412565344260345,0.0306404982924368,0.673815143948766,0.00121098205624761,0.0489920826128768,0.829758358271604,0.000728659665001247,0.0980266982326202,1.60491418099387
332813137a7859da906311154b130f92,13,0.168918363616865,0.864411538933488,0.546864641071577,0.402669813003124,0.43026523142271,0.284471424147554,0.748515010356753,0.127835919439265,0.135045270909633,0.0141764559745163,0.384368033692994,0.0315841991650755,0.722811023650098,0.00102287383245635,0.0444395166151858,0.835123173928541,0.000914439809736334,0.0988169240480406,1.65006739796636
cccc5448117269dc43922d323db7af5d,13,0.209243061179011,0.893817383131089,0.504899240000643,0.481653218224314,0.65778474642776,0.646993051216684,0.754889576129228,0.10858732950096,0.153719539281577,0.00861529716537724,0.412056909409524,0.03690192644796,0.702776219129788,0.00106860522842814,0.0529586662221445,0.920281442658248,0.00103548368815346,0.0991419159237536,1.61471080222865
e4be73f2b634a54f1a3ce49e0c6af652,13,0.168458060911525,0.967488940208664,0.525260550531889,0.51528986749533,0.700857028718144,0.138563992494938,0.597212166368962,0.109335667418909,0.164946554281478,0.00875847971271793,0.371430779771625,0.0351451546033046,0.741658307811202,0.00107710981657129,0.055392405194366,0.829029627148542,0.000991746468578289,0.085188157071714,1.62484654656671
a2b53cc08255f4ad2f1abd38b450fc31,13,0.1704144693671,0.87803908493871,0.531643721189275,0.380230368406106,0.451917156834648,0.426781441853989,0.716239738748945,0.125173554251738,0.137151171800886,0.0152175201280777,0.387740789242324,0.0316446546201514,0.706035386833809,0.0010326798164677,0.0433872597498954,0.846072456019123,0.000861152265663644,0.0991331274745606,1.63644193015467
8646ff493c466f936594fac94566d673,13,0.21113260663684,0.914042186024886,0.530941882901226,0.541846850093345,0.729724947396188,0.701027054920817,0.738961451768346,0.107872326201629,0.150816090353045,0.0099191194904535,0.404150831362807,0.0365648511493414,0.708042769744622,0.00109234706645742,0.0500503587048943,0.920718425615649,0.000944401572196046,0.100087982889505,1.61919678558755
002eec8bd188d5761047792caa966cb8,13,0.186785619284008,0.967994386634254,0.630210034200658,0.507982081670503,0.479950028037616,0.631902216105145,0.665643607817834,0.119273471068144,0.166389673614757,0.0189910129314185,0.415496218553118,0.0315044678459528,0.672612835981334,0.00123976392814954,0.0454759139567869,0.844867540745782,0.000809853923259104,0.0956150467898447,1.59699824582775
9475c57102fd71d064b4021acf8bbefe,13,0.160414659402768,0.975164641426822,0.485528973012552,0.471129509723202,0.710941668981257,0.126518268284074,0.601364284063734,0.108681770952674,0.168685097917009,0.00874956184513374,0.369050994787545,0.0351562151758597,0.751621222983713,0.00107299787618688,0.0537663540245758,0.818484925186762,0.00103099329531761,0.0851251634683313,1.63183385330326
8813c9162aa86f882b55246f5961729e,13,0.184220862048333,0.974278035006859,0.57416595536181,0.586346827898981,0.6490291732729,0.423591534520414,0.52123157257761,0.109319072426195,0.155693759880648,0.0147589380897388,0.435221458460545,0.0302709769149503,0.73672780486852,0.00129919762866067,0.0423349820073676,0.867855399884893,0.000665596372699724,0.0983099574212136,1.57477595349119
e99755edd5be77b2e62fef5a1fc188c6,13,0.152855270450934,0.972142864686671,0.488507626521278,0.53027421810698,0.692868299197526,0.256801470440906,0.560911839492293,0.110573620202452,0.164485571456268,0.0082558819531076,0.366816198374692,0.0340938732298525,0.741341174404133,0.00106453299939588,0.0526298637663884,0.82344515741709,0.00101607718228848,0.0828858484317764,1.6279318580056
fa3010d5a52028e0244a760c391eb4c0,13,0.200991367917044,0.955257211748696,0.483558570190222,0.451946816727986,0.369982964497751,0.102981322132749,0.646285692240956,0.107900180843366,0.170359781973465,0.00978598225866123,0.421589672241948,0.0343142867356943,0.705270808584191,0.00125034448595704,0.0479339282015921,0.76690108078004,0.000607205498187025,0.0905380599767111,1.64633085197594
fb09a6d8d2a4ce815d219aadbd5da4b6,13,0.204984647287981,0.965789795853436,0.635384313846194,0.450000832625554,0.550375049560936,0.631099963349729,0.660274821086459,0.120466217131625,0.172766932681435,0.0201805522410989,0.424707259317404,0.0313723444012613,0.671895266401907,0.00128037867822315,0.0491967406078352,0.826197867296831,0.00070764007915221,0.0946613876716309,1.6124526443576
609360bdf070eceb464e310235133783,13,0.190563894534158,0.925172241833222,0.436315153602937,0.531892275258676,0.806503059016487,0.225379732579554,0.754810282085266,0.117195878735527,0.164778120790404,0.016699883805808,0.389134106167616,0.0302149943316731,0.751389988120833,0.00107360150448162,0.0482767404649659,0.757550306200421,0.000832201353580914,0.0975897562358621,1.57847761229018
