uid,n_hit,alphaHmul2010,alphaHmul2019,chi,epsilonHmul2010,epsilonHmul2019,eta,j1A0,j2A0,j3A0,j4A0,kappa,lambdaH,muDc,muH1,muH2,muK,multiplier,pEhigh,phiHmul2010,phiHmul2019,phiS,pR,pT,rho,sageA15,sigma,theta,thetamul,trmul,zeta
a41b3c51e8fdf7b1ef98b52819d1fbc0,25,0.190625432,0.427165597,0.171172129,0.313136442,0.298580202,0.82913148,0.991826239,0.868610998,0.886791045,0.408933277,0.225742382,1.614549856,0.144991083,0.006951621,0.068799924,0.006193853,0.608908104,0.361911712,3.337159335,1.485158817,0.046138515,0.620277424,0.000736611,0.015520352,0.724468984,0.001090607,0.109224006,28.1458951,1.352105577,0.557384321
d136c04d564db56955996acd37601c83,25,0.269297098,0.333709579,0.166225944,0.229445464,0.453688915,0.82052386,0.947257247,0.830150775,0.96518933,0.417081799,0.209605428,1.538519295,0.135190138,0.00659175,0.071041954,0.003865525,0.816563578,0.315497983,2.698811279,1.335554854,0.046505478,0.614139447,0.000568204,0.016398567,0.531528584,0.00106717,0.109579915,32.71013369,1.140279782,0.437391631
00bea58a9e6ca2f54f537f2f97618acc,25,0.345216958,0.365656512,0.170843569,0.173067425,0.198571331,0.820496687,0.904780975,0.793777678,0.965841616,0.447292211,0.219441414,1.601636636,0.135384375,0.006353781,0.071080044,0.00416341,0.773967211,0.290787516,3.036634797,1.142712013,0.046264012,0.606285482,0.000581121,0.014389967,0.557315077,0.001021632,0.106971899,34.1353679,1.123792791,0.434826515
0ac208d65e6620bd7daa463e7023043a,25,0.432007303,0.584026133,0.175647002,0.187403014,0.210592224,0.770902626,0.995277565,0.790574047,0.905024434,0.490560114,0.223880295,1.553380357,0.156220604,0.00675863,0.065471947,0.005613087,0.636515052,0.32388041,3.166038351,1.15832711,0.046531638,0.604547535,0.000696909,0.013921136,0.616679323,0.001031799,0.105273267,26.01976248,1.230282969,0.509412685
1b191e91c6b1f18c58b4536ea6e78dff,26,0.213441078,0.418847301,0.169071054,0.275667826,0.314468202,0.81745161,0.945693579,0.843401476,0.913576125,0.437187901,0.222355798,1.589104823,0.139613707,0.006697246,0.073213326,0.00472898,0.722502883,0.331938599,3.186224719,1.340267321,0.046640272,0.616436332,0.000664756,0.016077098,0.628591075,0.001060519,0.109003641,30.09722501,1.179779035,0.465096033
a41b3c51e8fdf7b1ef98b52819d1fbc0,25,0.190625432,0.427165597,0.171172129,0.313136442,0.298580202,0.82913148,0.991826239,0.868610998,0.886791045,0.408933277,0.225742382,1.614549856,0.144991083,0.006951621,0.068799924,0.006193853,0.608908104,0.361911712,3.337159335,1.485158817,0.046138515,0.620277424,0.000736611,0.015520352,0.724468984,0.001090607,0.109224006,28.1458951,1.352105577,0.557384321
0d149d18696c376d5fc83f544b77b0f3,25,0.261683738,0.330355278,0.182518599,0.269549564,0.293442997,0.794800196,0.709980853,0.934477548,0.824422095,0.463381703,0.202865383,1.516102371,0.143338245,0.006699241,0.057013805,0.006499406,1.351412529,0.294123391,2.441686447,1.646349884,0.045906277,0.606672487,0.000949284,0.011732302,0.403758837,0.001049387,0.108021487,27.42519908,1.174479455,2.247779323
0d149d18696c376d5fc83f544b77b0f3,25,0.261683738,0.330355278,0.182518599,0.269549564,0.293442997,0.794800196,0.709980853,0.934477548,0.824422095,0.463381703,0.202865383,1.516102371,0.143338245,0.006699241,0.057013805,0.006499406,1.351412529,0.294123391,2.441686447,1.646349884,0.045906277,0.606672487,0.000949284,0.011732302,0.403758837,0.001049387,0.108021487,27.42519908,1.174479455,2.247779323
f9be8bc1e2a848d32be64ecd8b592c8d,25,0.230380969,0.182442361,0.155049625,0.314860749,0.388467245,0.785845825,0.905296038,0.912668101,0.927022856,0.472807262,0.201349941,1.542361157,0.12568821,0.006787314,0.061884521,0.004203268,1.004304808,0.268659679,2.065730758,1.271549825,0.046397203,0.602219267,0.000651863,0.015369437,0.487088233,0.001091068,0.110817656,34.06545097,1.252447057,1.509038481
f9be8bc1e2a848d32be64ecd8b592c8d,25,0.230380969,0.182442361,0.155049625,0.314860749,0.388467245,0.785845825,0.905296038,0.912668101,0.927022856,0.472807262,0.201349941,1.542361157,0.12568821,0.006787314,0.061884521,0.004203268,1.004304808,0.268659679,2.065730758,1.271549825,0.046397203,0.602219267,0.000651863,0.015369437,0.487088233,0.001091068,0.110817656,34.06545097,1.252447057,1.509038481
4bd8d5e383bcae091bac64d8ff02bde2,25,0.234712169,0.307835245,0.156947315,0.27010244,0.52077237,0.771276861,0.888250258,0.946218512,0.933130922,0.499434112,0.199705888,1.52320913,0.12905668,0.00666253,0.056609832,0.00453522,1.065022345,0.290070251,2.351260375,1.547014696,0.046504108,0.60776341,0.0006715,0.015262764,0.478075263,0.00112279,0.110560945,32.5645777,1.20819898,1.124686895
4bd8d5e383bcae091bac64d8ff02bde2,25,0.234712169,0.307835245,0.156947315,0.27010244,0.52077237,0.771276861,0.888250258,0.946218512,0.933130922,0.499434112,0.199705888,1.52320913,0.12905668,0.00666253,0.056609832,0.00453522,1.065022345,0.290070251,2.351260375,1.547014696,0.046504108,0.60776341,0.0006715,0.015262764,0.478075263,0.00112279,0.110560945,32.5645777,1.20819898,1.124686895
