uid,n_hit,aHIVdeath,aHIVslowrecov,aHIVtreatinit,alphaH,alphaHmul2010,atheta,chi,epsilonH,epsilonHmul2010,eta,j1A0,j2A0,j3A0,j4A0,kappa,lambdaH,muDc,muH1,muH2,muK,multiplier,pEhigh,phiH,phiHmul2010,phiS,pR,pT,rho,sageA15,sigma,smul,theta,zeta
6c90b268f6d36a4d59d41fc0626f779c,34,2.982940227,0.709136366,1.049763209,0.956187203,0.56665367,20.29111058,0.237353453,0.557972135,0.304855946,0.541084042,0.297763247,0.401209293,0.490528634,0.487439874,0.171297917,1.280090959,0.079460806,0.006271751,0.104279927,0.020597144,0.244217143,0.390219384,1.955157589,4.725212082,0.026935176,0.653786569,0.001322746,0.003673849,0.88449997,0.000555647,0.920084542,0.087691824,0.4344018
250b78a3c28662c4bc246f8562449d58,34,2.574825477,0.652955149,1.050958049,0.594758156,0.706516456,23.16212657,0.235546015,0.573909444,0.410559481,0.517640065,0.309139078,0.271930653,0.314476423,0.533965457,0.171044163,1.300051319,0.093467595,0.004550571,0.104807829,0.014957461,0.23053975,0.397471715,1.961981229,3.824237926,0.034568253,0.635427045,0.001292857,0.002877367,0.857248898,0.000515314,0.820800612,0.087737887,0.419626496
8fc196f7446facc86abd7b8a3b7ca509,34,2.682815375,0.703930353,1.155028064,0.820779867,0.684458144,24.48881434,0.23608165,0.515158262,0.377089755,0.546644409,0.316618726,0.349346465,0.394813499,0.528636852,0.156038193,1.28800717,0.105272361,0.005872854,0.102771488,0.017579035,0.303579863,0.38664464,2.060930176,4.232515447,0.029811716,0.641426151,0.001301539,0.00318735,0.870398636,0.000542364,0.934019279,0.086101465,0.383320623
ecee792ebe0f271925bec711f1021a5f,34,2.632047981,0.699853912,1.160152641,0.78613763,0.700544379,20.24195062,0.236566292,0.539389821,0.382312914,0.536330239,0.39913046,0.489547615,0.427941956,0.466680762,0.167796719,1.293421109,0.085905441,0.005732192,0.10882845,0.02065398,0.276486812,0.398138949,2.244026513,4.464281034,0.027910805,0.640794862,0.001315181,0.003603362,0.887984843,0.000472937,0.818903925,0.089089811,0.431365703
c746bca9b5a9059326d9310a7a1b4480,34,3.041723575,0.728841666,1.132558107,0.828580256,0.582607059,20.08001139,0.23593665,0.531359662,0.344635666,0.545543412,0.285935506,0.369774623,0.480474139,0.487134748,0.175433136,1.287199281,0.080543557,0.006286145,0.10317653,0.019610523,0.301289572,0.393232567,1.791062576,4.272902001,0.027991599,0.644164526,0.001308386,0.003770685,0.892820781,0.000566581,0.889336417,0.08767875,0.426748734
593309411c55214fad0a9cb99a92cf04,34,2.795353632,0.744259178,1.029884555,0.757371059,0.762144832,22.20794762,0.234350406,0.499935139,0.398118823,0.562735027,0.327123322,0.492206147,0.420320085,0.461348671,0.165555567,1.293874561,0.090318557,0.006393782,0.110373608,0.020525077,0.289063033,0.388106379,1.767190295,4.546050715,0.02629079,0.644930197,0.001316004,0.003556175,0.863311101,0.000505994,0.797495901,0.08698911,0.413341963
ee622670e4467ee550f30f082b422e14,34,2.947963115,0.764487673,1.023829115,0.803455182,0.649264257,20.49786439,0.236750321,0.528142873,0.345400548,0.55132984,0.295801943,0.387207592,0.441271649,0.503171047,0.171384534,1.287189162,0.082559458,0.005823182,0.099756748,0.019411985,0.288115635,0.382003158,1.818291918,4.075775645,0.028822748,0.649653825,0.001312805,0.003536792,0.892465343,0.000551261,0.80656064,0.087325089,0.42293726
e3e307ad35c709ee2f0773e3bb214079,34,2.696103717,0.647518893,1.032686839,0.630567758,0.697226496,22.87977316,0.233959474,0.596381074,0.338630195,0.519550258,0.280544494,0.237695224,0.422176684,0.538526771,0.16876966,1.284886652,0.093663654,0.005378215,0.087043847,0.014412559,0.350437015,0.399367613,1.959590815,3.650447008,0.033729722,0.637594713,0.001312283,0.002873946,0.856826646,0.000555207,0.843858319,0.08634239,0.420056681
4d9b8c29d63808f4a94a33fca678d9da,34,2.797699812,0.757073046,0.979150699,0.757450706,0.755570431,21.15999467,0.234981147,0.524842331,0.36619001,0.552840021,0.29384829,0.381868208,0.431319699,0.488158927,0.168333015,1.284208878,0.086604593,0.006029041,0.107096922,0.019987418,0.311031427,0.389605946,1.704627249,4.426763379,0.027794712,0.641731207,0.00131901,0.003432739,0.875620297,0.000530854,0.857476731,0.086741033,0.424636325
276a98e8e3162de9772d587355a64e10,34,2.688158705,0.664307764,1.100619413,0.737198183,0.599891318,22.42509717,0.233787733,0.51963835,0.406974232,0.545292586,0.341822935,0.362670764,0.448080871,0.491185706,0.1617824,1.304159092,0.09405296,0.006496057,0.106968076,0.018113173,0.300381555,0.392346732,1.883828544,4.206141239,0.029787372,0.640346369,0.001302225,0.00342404,0.863390927,0.000512251,0.893513827,0.087204801,0.404768886
2e2c882d1c9ab71a02d18afbba46c6b7,34,3.184864606,0.724221408,1.027433728,0.764049523,0.577509637,19.3667635,0.23549916,0.509426679,0.345770506,0.55251445,0.278271814,0.37143042,0.493080772,0.476497739,0.172563597,1.307485848,0.076324479,0.006618011,0.104345506,0.021072669,0.290948512,0.384766273,1.819448326,4.283179521,0.028276048,0.638399783,0.001287594,0.003716659,0.899314654,0.000536078,0.885499131,0.088066457,0.437622284
6678ce32f138e12b83255b6f04be99ec,34,2.363855163,0.633334932,1.293123384,0.777290908,0.631628079,20.66618194,0.234917836,0.50774904,0.440025429,0.530814764,0.392578253,0.374232512,0.492055812,0.469106926,0.154052769,1.315976032,0.095434071,0.005359362,0.111330172,0.020409363,0.30234252,0.3963865,1.61705107,4.15686889,0.027423434,0.628091252,0.001304951,0.003461093,0.891381696,0.000489101,0.952324514,0.086092534,0.414887199
39e27dadcc100902d6cfa8ebb6ef5cce,34,2.932722498,0.736385099,0.998909827,0.7678988,0.754589948,19.77322789,0.235304204,0.53783365,0.344193961,0.554072248,0.268766053,0.403614769,0.486298986,0.487954251,0.168778749,1.285879798,0.080253654,0.005657284,0.110748224,0.020305186,0.261535708,0.384393889,1.657796322,4.396040234,0.027373646,0.646632223,0.001298607,0.003657825,0.883965216,0.000559254,0.882098819,0.087482165,0.43526026
04d337bc639c1a4180368772a1ffe711,34,2.926311176,0.756163722,1.02721397,0.798810143,0.646691899,20.77198328,0.236627462,0.528485308,0.348935741,0.55211939,0.300204844,0.389008698,0.436895144,0.50305207,0.170736359,1.288266238,0.084089008,0.005864465,0.09961137,0.019264631,0.289574436,0.382212213,1.850359138,4.062423623,0.028999954,0.650034404,0.00131343,0.003518332,0.890130099,0.00054733,0.805616876,0.087289788,0.419673096
a41f601497d5c3e9c984812710c9f530,34,2.699401476,0.689346853,1.087571297,0.726830542,0.724242923,21.79391794,0.237378424,0.570055066,0.326100536,0.535766757,0.306165177,0.350750869,0.445658649,0.532655618,0.160575306,1.298379687,0.095314864,0.00636101,0.102766338,0.018056652,0.276162219,0.384772494,1.894884833,4.259222987,0.030112857,0.650743861,0.00129476,0.003534876,0.882597632,0.000555941,0.979893972,0.087276901,0.421310411
02492cb5fc1efd46f662d647ab6b70a2,34,2.996851553,0.751180889,0.979183063,0.775108426,0.769476667,19.0376819,0.235451657,0.542036208,0.32991995,0.554276794,0.256735776,0.408774476,0.501727637,0.487472257,0.169944276,1.284919858,0.076397966,0.0056083,0.111706405,0.020842294,0.255368305,0.382637333,1.597789931,4.41978149,0.026873929,0.647291247,0.001294517,0.003732896,0.89128447,0.000564884,0.886403408,0.087700258,0.443675057
d19f31f016aaca50c5a838b89bff58fd,34,3.118492895,0.733068245,1.072747968,0.774845567,0.584532364,19.36351856,0.234627493,0.504517805,0.344893882,0.544567671,0.281969816,0.3731772,0.487857481,0.485744175,0.17056859,1.300707623,0.076381152,0.006279426,0.103541545,0.021055129,0.294322911,0.385867804,1.748988866,4.15939529,0.028124127,0.63395233,0.0012813,0.003679577,0.905832583,0.000527989,0.884066175,0.087911393,0.433376177
