uid,n_hit,aHIVdeath,aHIVslowrecov,aHIVtreatinit,alphaH,alphaHmul2010,atheta,chi,epsilonH,epsilonHmul2010,eta,j1A0,j2A0,j3A0,j4A0,kappa,lambdaH,muDc,muH1,muH2,muK,multiplier,pEhigh,phiH,phiHmul2010,phiS,pR,pT,rho,sageA15,sigma,smul,theta,zeta
ac1121372ba43869da8e597a10bea190,35,4.779273423,1.696192328,2.139196732,0.54904514,1.508553202,28.10064622,0.10488183,0.142754828,1.104433293,0.498664498,0.941198037,0.962674645,0.930091433,0.97936685,0.085290568,1.192157048,0.159119104,0.007171933,0.071976052,0.013887279,0.950350597,0.326235008,1.375898836,1.597473639,0.045803917,0.602226158,0.000608329,0.005862099,0.941662473,0.00110571,0.82225482,0.110133796,0.381894577
09eb6b2d56a06d209de604ac55ff3f03,34,4.298967573,1.53049,2.2313327,0.3477901,1.3573,26.15258,0.108037,0.23084,1.012408,0.51599081,0.9560335,0.95,0.95,0.94776,0.08329812,1.0940583,0.157987327,0.00667,0.055,0.0137937,1,0.37197,1.138729,1.93235,0.0467,0.601176,0.000681009,0.005,0.95,0.00113,0.80378,0.111,0.4087995
3eb467e79912072b4bae0190429514d8,34,4.310924921,1.530536701,2.240441752,0.345809217,1.360152438,26.23516192,0.107787534,0.224165009,1.006012954,0.514675845,0.955104009,0.950978895,0.949255828,0.946256062,0.08390437,1.09035944,0.157978942,0.006677916,0.055410654,0.013798518,1.006397566,0.370605419,1.138237466,1.9452987,0.046672883,0.602083375,0.000689307,0.004904033,0.9503983,0.001129274,0.804840475,0.110897881,0.435207293
10f83ff4c4c0c01513f7e0df3fb91b43,34,4.309392444,1.53345133,2.229151118,0.353480738,1.36140026,26.16317684,0.108143338,0.220975744,0.9962762,0.51438662,0.953427092,0.954830615,0.94646303,0.943713647,0.083406859,1.091938667,0.15816962,0.006655811,0.055293324,0.013861394,1.01255648,0.368993849,1.142071353,1.931062491,0.046597612,0.602237208,0.000681321,0.004766795,0.95140299,0.001127945,0.802206643,0.110956073,0.391773643
2393ec4e302776ccf527d54ba2456717,34,4.289991223,1.5345417,2.203471372,0.357158448,1.355125731,26.14744875,0.108067301,0.232873073,0.998842849,0.515385315,0.954940831,0.95789973,0.948386086,0.95286437,0.083334142,1.091640793,0.156429429,0.006666708,0.055005806,0.01370305,0.997900419,0.372291591,1.153355334,1.929451078,0.046606681,0.601929179,0.000660199,0.004280102,0.94314607,0.001122507,0.79620056,0.110821128,0.341276047
088680bedbfd2cb4a858dbe8516d3129,34,4.298081213,1.539915746,2.214270007,0.348475412,1.349660071,26.24030916,0.10779411,0.224560536,0.990302189,0.516556517,0.956161902,0.960413431,0.946733824,0.948949057,0.082899136,1.095451886,0.155922777,0.006655198,0.05564788,0.013667169,1.001113423,0.373039349,1.141064924,1.948509625,0.046680347,0.601323626,0.000679644,0.004237007,0.945384927,0.001118656,0.797345882,0.110898409,0.360739263
824db25988169da1a75e3c148704779a,34,4.284266182,1.541971231,2.205719508,0.349771915,1.346200402,26.24500363,0.108365698,0.224546432,0.987278575,0.517860826,0.959611361,0.961510999,0.948212879,0.946530888,0.083536793,1.115308628,0.156428772,0.006627406,0.055172163,0.013740167,1.008306649,0.375178808,1.128860718,1.960379211,0.04660004,0.601998887,0.000681599,0.003978369,0.942455461,0.001117266,0.800606029,0.110874768,0.351358625
dfc208ae910dfea4b243203b812d5e0a,34,4.305347018,1.556559894,2.190554906,0.344535227,1.345793556,26.1927914,0.108626303,0.236674772,0.971080229,0.512340882,0.956132331,0.949923356,0.950536972,0.95183357,0.084338117,1.138300648,0.157297138,0.006705613,0.056614663,0.013635058,1.008123553,0.38145864,1.156257014,1.937664208,0.046680229,0.60239392,0.000708326,0.003975355,0.949564476,0.001114412,0.796448016,0.110749751,0.413655335
d492c0767bd2da871206068c7fbaad7f,34,4.302607209,1.549658316,2.157126926,0.361227488,1.348915087,26.26381775,0.108839068,0.238835765,0.978477553,0.514222383,0.952263055,0.949646999,0.944805502,0.951657469,0.084029922,1.148066491,0.1571231,0.006706434,0.056335326,0.013432842,1.006680228,0.381515053,1.179378247,1.941376501,0.046583306,0.601353765,0.000705794,0.004247646,0.948266529,0.001104358,0.796656691,0.110897775,0.39769716
ea58b46161c622c90456279269ef61f5,34,4.315403059,1.556339653,2.155621086,0.35462311,1.372534041,26.37040288,0.108338913,0.241985952,0.965151531,0.497994823,0.950743852,0.958539689,0.93000019,0.953193054,0.0819108,1.17534176,0.155701542,0.006630817,0.05517182,0.013445088,0.986464578,0.386693003,1.179388659,1.87405944,0.04648081,0.601787627,0.000730135,0.004078029,0.94675652,0.001105899,0.78189162,0.110575447,0.478676187
